observation_date,US_NumberofWorkers
1960-01-01,101480666.666667
1960-04-01,101758333.333333
1960-07-01,102043666.666667
1960-10-01,102350333.333333
1961-01-01,102706000.000000
1961-04-01,103002333.333333
1961-07-01,103270666.666667
1961-10-01,103358000.000000
1962-01-01,103473000.000000
1962-04-01,103124666.666667
1962-07-01,103603333.333333
1962-10-01,104194000.000000
1963-01-01,104732333.333333
1963-04-01,105223666.666667
1963-07-01,105727666.666667
1963-10-01,106198000.000000
1964-01-01,106661666.666667
1964-04-01,107098666.666667
1964-07-01,107555666.666667
1964-10-01,108019000.000000
1965-01-01,108482333.333333
1965-04-01,108939666.666667
1965-07-01,109282000.000000
1965-10-01,109615666.666667
1966-01-01,109895333.333333
1966-04-01,110193000.000000
1966-07-01,110492333.333333
1966-10-01,110784666.666667
1967-01-01,111136000.000000
1967-04-01,111548333.333333
1967-07-01,112099333.333333
1967-10-01,112590666.666667
1968-01-01,113038333.333333
1968-04-01,113432000.000000
1968-07-01,113869666.666667
1968-10-01,114412666.666667
1969-01-01,114949666.666667
1969-04-01,115410333.333333
1969-07-01,115896333.333333
1969-10-01,116448666.666667
1970-01-01,117082333.333333
1970-04-01,117730000.000000
1970-07-01,118402666.666667
1970-10-01,119095000.000000
1971-01-01,119778000.000000
1971-04-01,120475000.000000
1971-07-01,121153000.000000
1971-10-01,121833000.000000
1972-01-01,123120333.333333
1972-04-01,123811333.333333
1972-07-01,124453666.666667
1972-10-01,125023333.333333
1973-01-01,125697000.000000
1973-04-01,126404666.666667
1973-07-01,127045333.333333
1973-10-01,127685333.333333
1974-01-01,128247000.000000
1974-04-01,128877000.000000
1974-07-01,129492666.666667
1974-10-01,130086333.333333
1975-01-01,130681333.333333
1975-04-01,131269000.000000
1975-07-01,131974333.333333
1975-10-01,132583666.666667
1976-01-01,133188666.666667
1976-04-01,133769333.333333
1976-07-01,134378333.333333
1976-10-01,134929000.000000
1977-01-01,135533000.000000
1977-04-01,136139666.666667
1977-07-01,136758000.000000
1977-10-01,137314000.000000
1978-01-01,137877666.666667
1978-04-01,138447333.333333
1978-07-01,139030666.666667
1978-10-01,139622000.000000
1979-01-01,140223666.666667
1979-04-01,140768666.666667
1979-07-01,141360000.000000
1979-10-01,142037333.333333
1980-01-01,142614000.000000
1980-04-01,143142000.000000
1980-07-01,143690000.000000
1980-10-01,144135000.000000
1981-01-01,144625000.000000
1981-04-01,145070333.333333
1981-07-01,145499000.000000
1981-10-01,145925333.333333
1982-01-01,146310666.666667
1982-04-01,146699333.333333
1982-07-01,147069000.000000
1982-10-01,147456000.000000
1983-01-01,147805666.666667
1983-04-01,148146333.333333
1983-07-01,148497000.000000
1983-10-01,148843333.333333
1984-01-01,149449000.000000
1984-04-01,149774666.666667
1984-07-01,150101666.666667
1984-10-01,150473666.666667
1985-01-01,150731333.333333
1985-04-01,151036666.666667
1985-07-01,151343666.666667
1985-10-01,151720666.666667
1986-01-01,152569333.333333
1986-04-01,152888000.000000
1986-07-01,153258000.000000
1986-10-01,153645666.666667
1987-01-01,154106666.666667
1987-04-01,154485666.666667
1987-07-01,154825000.000000
1987-10-01,155160000.000000
1988-01-01,155502000.000000
1988-04-01,155839000.000000
1988-07-01,156205666.666667
1988-10-01,156456333.333333
1989-01-01,156816666.666667
1989-04-01,157060000.000000
1989-07-01,157381000.000000
1989-10-01,157627666.666667
1990-01-01,159447333.333333
1990-04-01,159722333.333333
1990-07-01,160045333.333333
1990-10-01,160454000.000000
1991-01-01,160719666.666667
1991-04-01,161026333.333333
1991-07-01,161364000.000000
1991-10-01,161788666.666667
1992-01-01,162074666.666667
1992-04-01,162369000.000000
1992-07-01,162801000.000000
1992-10-01,163261666.666667
1993-01-01,163609333.333333
1993-04-01,163956000.000000
1993-07-01,164385000.000000
1993-10-01,164864333.333333
1994-01-01,165234000.000000
1994-04-01,165582333.333333
1994-07-01,165951333.333333
1994-10-01,166439333.333333
1995-01-01,166582666.666667
1995-04-01,166903666.666667
1995-07-01,167306333.333333
1995-10-01,167753333.333333
1996-01-01,168093000.000000
1996-04-01,168607000.000000
1996-07-01,169081333.333333
1996-10-01,169575666.666667
1997-01-01,170458000.000000
1997-04-01,170924000.000000
1997-07-01,171343333.333333
1997-10-01,171851000.000000
1998-01-01,172233666.666667
1998-04-01,172728333.333333
1998-07-01,173183333.333333
1998-10-01,173785333.333333
1999-01-01,174507666.666667
1999-04-01,174988000.000000
1999-07-01,175480000.000000
1999-10-01,176100666.666667
2000-01-01,178274333.333333
2000-04-01,178789333.333333
2000-07-01,179399666.666667
2000-10-01,179977666.666667
2001-01-01,180499333.333333
2001-04-01,181074333.333333
2001-07-01,181771000.000000
2001-10-01,182338000.000000
2002-01-01,182898000.000000
2002-04-01,183448000.000000
2002-07-01,184092000.000000
2002-10-01,184609000.000000
2003-01-01,185983333.333333
2003-04-01,186586333.333333
2003-07-01,187223666.666667
2003-10-01,187864333.333333
2004-01-01,187892333.333333
2004-04-01,188434333.333333
2004-07-01,189023666.666667
2004-10-01,189642000.000000
2005-01-01,190112666.666667
2005-04-01,190664333.333333
2005-07-01,191288666.666667
2005-10-01,191991000.000000
2006-01-01,192357666.666667
2006-04-01,192876000.000000
2006-07-01,193490000.000000
2006-10-01,194082000.000000
2007-01-01,194867666.666667
2007-04-01,195352666.666667
2007-07-01,195918333.333333
2007-10-01,196417333.333333
2008-01-01,195939666.666667
2008-04-01,196354666.666667
2008-07-01,196867000.000000
2008-10-01,197345000.000000
2009-01-01,197190000.000000
2009-04-01,197548333.333333
2009-07-01,198032666.666667
2009-10-01,198442000.000000
2010-01-01,198548333.333333
2010-04-01,198896333.333333
2010-07-01,199311666.666667
2010-10-01,199736666.666667
2011-01-01,199440000.000000
2011-04-01,199802333.333333
2011-07-01,200087666.666667
2011-10-01,200225666.666667
2012-01-01,201204333.333333
2012-04-01,201357333.333333
2012-07-01,201485333.333333
2012-10-01,201614000.000000
2013-01-01,201975000.000000
2013-04-01,202173333.333333
2013-07-01,202371000.000000
2013-10-01,202551000.000000
2014-01-01,202676666.666667
2014-04-01,202858333.333333
2014-07-01,203110333.333333
2014-10-01,203303666.666667
2015-01-01,203965000.000000
2015-04-01,204139333.333333
2015-07-01,204443000.000000
2015-10-01,204619666.666667
2016-01-01,205156666.666667
2016-04-01,205368000.000000
2016-07-01,205635666.666667
2016-10-01,205850666.666667
2017-01-01,205330333.333333
2017-04-01,205421333.333333
2017-07-01,205644333.333333
2017-10-01,205754000.000000
2018-01-01,206284333.333333
2018-04-01,206404666.666667
2018-07-01,206578666.666667
2018-10-01,206763333.333333
2019-01-01,206164333.333333
2019-04-01,206266000.000000
2019-07-01,206260000.000000
2019-10-01,206389333.333333
2020-01-01,205689333.333333
2020-04-01,205724666.666667
2020-07-01,205726333.333333
2020-10-01,205744000.000000
