,AdultWeekend
AdultWeekend,1.0
Runs,0.7569256886524985
fastQuads,0.7314449612298848
vertical_drop,0.7132871402363038
Snow Making_ac,0.6957644187291822
total_chairs,0.654397255609379
daysOpenLastYear,0.5966738045835657
LongestRun_mi,0.5796015458271048
trams,0.5690150021974504
projectedDaysOpen,0.5296503707509334
SkiableTerrain_ac,0.5277500663115224
TerrainParks,0.4749141633596788
fastSixes,0.4475954807912748
averageSnowfall,0.4372161665307468
summit_elev,0.4300485037227883
NightSkiing_ac,0.3743655345017107
triple,0.3469870344553196
quad,0.32884598610844673
resort_night_skiing_state_ratio,0.3235398556181426
base_elev,0.31179046731033766
resort_skiable_area_ac_state_ratio,0.19210345379491542
resorts_per_100kcapita,0.15931832333206633
yearsOpen,0.14677676121534028
double,0.13589867273838327
resorts_per_100ksq_mile,0.0987698902176761
resort_terrain_park_state_ratio,0.05198688083690533
surface,0.029569435453349405
resort_days_open_state_ratio,-0.0011878828846338882
resorts_per_state,-0.00595844367661444
num_resorts,-0.09044014064398744
